filename,status,issues,width,height,mode,file_size_bytes,brightness_mean,contrast
2095.png,OK,nenhum,3385,1793,L,479797,234.79,52.97
2096.png,OK,nenhum,3385,1793,L,475195,234.63,53.2
2097.png,OK,nenhum,3385,1793,L,602971,233.54,54.72
2098.png,OK,nenhum,3385,1793,L,503755,234.56,53.32
2099.png,OK,nenhum,3385,1793,L,524703,234.24,53.76
2100.png,OK,nenhum,3385,1793,L,564286,233.61,54.9
2101.png,OK,nenhum,3385,1793,L,593643,233.44,54.87
2102.png,OK,nenhum,3385,1793,L,543847,233.5,54.83
2103.png,OK,nenhum,3385,1793,L,543847,233.5,54.83
2104.png,OK,nenhum,3385,1793,L,584304,232.89,55.62
2105.png,OK,nenhum,3385,1793,L,551829,233.42,54.94
2106.png,OK,nenhum,3385,1793,L,529346,233.85,54.34
2107.png,OK,nenhum,3385,1793,L,606515,233.01,55.51
2108.png,OK,nenhum,3385,1793,L,512373,233.89,54.32
2109.png,OK,nenhum,3385,1793,L,512373,233.89,54.32
2110.png,OK,nenhum,3385,1793,L,520298,233.1,55.45
2111.png,OK,nenhum,3385,1793,L,647694,231.96,56.91
2112.png,OK,nenhum,3385,1793,L,666570,231.38,57.84
2113.png,OK,nenhum,3385,1793,L,524677,233.99,54.16
2114.png,OK,nenhum,3385,1793,L,556089,233.89,54.25
2115.png,OK,nenhum,3385,1793,L,561731,233.74,54.48
2116.png,OK,nenhum,3385,1793,L,619812,233.15,55.29
2117.png,OK,nenhum,3385,1793,L,519428,234.3,53.69
2118.png,OK,nenhum,3385,1793,L,638491,232.52,56.24
2119.png,OK,nenhum,3385,1793,L,524629,234.13,53.97
2120.png,OK,nenhum,3385,1793,L,483055,234.71,53.14
2121.png,OK,nenhum,3385,1793,L,485778,234.42,53.67
2122.png,OK,nenhum,3385,1793,L,553974,233.69,54.57
2123.png,OK,nenhum,3385,1793,L,512579,234.5,53.42
2124.png,OK,nenhum,3385,1793,L,517807,234.25,53.76
2125.png,OK,nenhum,3385,1793,L,562981,233.6,54.74
2126.png,OK,nenhum,3385,1793,L,562981,233.6,54.74
2127.png,OK,nenhum,3385,1793,L,460317,234.76,53.04
2128.png,OK,nenhum,3385,1793,L,461244,235.34,52.15
2129.png,OK,nenhum,3385,1793,L,493483,234.68,53.17
2130.png,OK,nenhum,3385,1793,L,510560,234.46,53.5
2131.png,OK,nenhum,3385,1793,L,551896,233.86,54.39
2132.png,OK,nenhum,3385,1793,L,516543,234.39,53.59
2133.png,OK,nenhum,3385,1793,L,496047,234.58,53.35
2134.png,OK,nenhum,3385,1793,L,538083,234.15,53.94
2135.png,OK,nenhum,3385,1793,L,532391,234.2,53.93
2136.png,OK,nenhum,3385,1793,L,534259,234.22,53.84
2137.png,OK,nenhum,3385,1793,L,492666,234.56,53.29
2138.png,OK,nenhum,3385,1793,L,517844,234.48,53.43
2139.png,OK,nenhum,3385,1793,L,534810,234.21,53.81
2140.png,OK,nenhum,3385,1793,L,407199,235.32,52.19
2141.png,OK,nenhum,3385,1793,L,407199,235.32,52.19
2142.png,OK,nenhum,3385,1793,L,501615,234.11,54.02
2143.png,OK,nenhum,3385,1793,L,540734,234.17,53.85
2144.png,OK,nenhum,3385,1793,L,481474,234.73,53.11
2145.png,OK,nenhum,3385,1793,L,546933,233.5,54.9
2146.png,OK,nenhum,3385,1793,L,435963,235.14,52.42
2147.png,OK,nenhum,3385,1793,L,523857,233.98,54.18
2148.png,OK,nenhum,3385,1793,L,523857,233.98,54.18
2149.png,OK,nenhum,3385,1793,L,499083,234.21,53.85
2150.png,OK,nenhum,3385,1793,L,550141,233.45,54.92
2151.png,OK,nenhum,3385,1793,L,639512,231.76,57.25
2152.png,OK,nenhum,3385,1793,L,562445,233.17,55.26
2153.png,OK,nenhum,3385,1793,L,560369,233.53,54.84
2154.png,OK,nenhum,3385,1793,L,773250,228.92,60.9
2155.png,OK,nenhum,3385,1793,L,484355,234.65,53.22
2156.png,OK,nenhum,3385,1793,L,453454,235.02,52.68
2157.png,OK,nenhum,3385,1793,L,453454,235.02,52.68
2158.png,OK,nenhum,3385,1793,L,458193,234.76,53.05
2159.png,OK,nenhum,3385,1793,L,458193,234.76,53.05
2160.png,OK,nenhum,3385,1793,L,458193,234.76,53.05
2161.png,OK,nenhum,3385,1793,L,458342,235.08,52.63
2162.png,OK,nenhum,3385,1793,L,438965,235.23,52.34
2163.png,OK,nenhum,3385,1793,L,468666,234.62,53.23
2164.png,OK,nenhum,3385,1793,L,480512,235.03,52.67
2165.png,OK,nenhum,3385,1793,L,558699,233.75,54.53
2166.png,OK,nenhum,3385,1793,L,529161,233.95,54.24
2167.png,OK,nenhum,3385,1793,L,509102,234.04,54.15
2168.png,OK,nenhum,3385,1793,L,551010,233.78,54.45
2169.png,OK,nenhum,3385,1793,L,573984,233.53,54.81
2170.png,OK,nenhum,3385,1793,L,592105,233.16,55.35
2171.png,OK,nenhum,3385,1793,L,545092,233.65,54.65
2172.png,OK,nenhum,3385,1793,L,533285,233.83,54.34
2173.png,OK,nenhum,3385,1793,L,483824,234.71,53.1
2174.png,OK,nenhum,3385,1793,L,407391,235.35,52.14
2175.png,OK,nenhum,3385,1793,L,535204,233.95,54.23
2176.png,OK,nenhum,3385,1793,L,505911,234.44,53.46
2177.png,OK,nenhum,3385,1793,L,489714,234.48,53.39
2178.png,OK,nenhum,3385,1793,L,478320,234.68,53.11
2179.png,OK,nenhum,3385,1793,L,549141,233.81,54.38
2180.png,OK,nenhum,3385,1793,L,488012,234.38,53.6
2181.png,OK,nenhum,3385,1793,L,460754,234.73,53.07
2182.png,OK,nenhum,3385,1793,L,460754,234.73,53.07
2183.png,OK,nenhum,3385,1793,L,531644,233.94,54.17
2184.png,OK,nenhum,3385,1793,L,633808,232.68,55.89
2185.png,OK,nenhum,3385,1793,L,561974,233.46,54.88
2186.png,OK,nenhum,3385,1793,L,635520,232.64,56.02
